Name;XY Scope Project;
File;E:\hawino\Measurements\VarianceMeasurement\NewVarinaceMeasurements\Scope Project.csv;
Starttime of export;133228415217429000;Donnerstag, 9. März 2023;14:18:41.742
Endtime of export;133228415441340474;Donnerstag, 9. März 2023;14:19:04.134


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;vYworldToSimulink;vXworldToSimulink
SampleTime[ms];10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851

1850;1445.8018798828125;1009.1895751953125;1675;1000;-29.853032499720598;562.62470296818594
1860;1445.8018798828125;1009.1895751953125;1675;1000;-31.462412869747936;458.83378453737663
1870;1462.21142578125;1008.0302734375;1675;1000;-15.056834774530387;459.70250219938106
1880;1462.21142578125;1008.0302734375;1700;1000;-49.615525792369695;515.29492764688985
1890;1462.21142578125;1008.0302734375;1700;1000;-80.187918754563924;528.6980710581405
1900;1462.21142578125;1008.0302734375;1700;1000;-33.604513560107733;440.83435274627823
1910;1483.13134765625;1010.0670776367188;1700;1000;0.659587076537548;465.12073101369737
1920;1483.13134765625;1010.0670776367188;1700;1000;-31.476342989220186;569.28821754021237
1930;1483.13134765625;1010.0670776367188;1725;1000;-9.8858372096483151;491.45652714971169
1940;1483.13134765625;1010.0670776367188;1725;1000;-13.388267565644199;434.44239769806626
1950;1517.8740234375;1009.5313720703125;1725;1000;-52.338626364928786;495.24850729862823
1960;1517.8740234375;1009.5313720703125;1725;1000;-55.504323490032917;528.95380324184464
1970;1517.8740234375;1009.5313720703125;1725;1000;-22.965650324455737;459.87362097253936
1980;1517.8740234375;1009.5313720703125;1750;1000;-19.192763846180327;437.66720971441936
1990;1517.8740234375;1009.5313720703125;1750;1000;-26.521926125092222;509.40035846859365
2000;1534.296630859375;1007.8433227539063;1750;1000;-30.166755840387012;538.00544108827683
2010;1534.296630859375;1007.8433227539063;1750;1000;-33.923295215166064;457.31941662668356
2020;1534.296630859375;1007.8433227539063;1750;1000;-39.928259248743458;392.27785512068039
2030;1534.296630859375;1007.8433227539063;1775;1000;-8.02253214822403;403.31276893849997
2040;1549.710693359375;1004.3339233398438;1775;1000;-9.0523206063897419;493.26370261248803
2050;1549.710693359375;1004.3339233398438;1775;1000;-36.175685232211364;478.26253797779191
2060;1549.710693359375;1004.3339233398438;1775;1000;-42.27229470819519;424.671522913285
2070;1549.710693359375;1004.3339233398438;1775;1000;-23.705703268520622;417.91386577607551
2080;1566.271240234375;1003.721435546875;1800;1000;1.8943281840701332;448.75377187833493
2090;1566.271240234375;1003.721435546875;1800;1000;-10.015974415771211;445.61468636829153
2100;1566.271240234375;1003.721435546875;1800;1000;-35.953213525145969;440.43981472424935
2110;1566.271240234375;1003.721435546875;1800;1000;-25.271867736832206;451.39721724219726
2120;1596.9593505859375;1003.23291015625;1800;1000;-9.0185690908536316;446.39160547650687
2130;1596.9593505859375;1003.23291015625;1825;1000;1.196956560875293;435.32499688780518
2140;1596.9593505859375;1003.23291015625;1825;1000;-11.19837037044779;464.30775996636874
2150;1596.9593505859375;1003.23291015625;1825;1000;-10.867915490510754;457.93009326950482
2160;1596.9593505859375;1003.23291015625;1825;1000;-6.2014686801127539;429.2454520966474
2170;1610.701904296875;1001.603759765625;1825;1000;-33.813177509576093;460.42798031270263
2180;1610.701904296875;1001.603759765625;1850;1000;-25.156618941657044;471.80778482535885
2190;1610.701904296875;1001.603759765625;1850;1000;12.339636254603676;448.87562413370324
2200;1610.701904296875;1001.603759765625;1850;1000;9.274297890618783;470.90823421952643
2210;1623.95654296875;1000.3490600585938;1850;1000;-5.248543146359296;462.73975076272626
2220;1623.95654296875;1000.3490600585938;1850;1000;19.252805567852029;454.89428791265834
2230;1623.95654296875;1000.3490600585938;1875;1000;17.6084575388207;465.09986777034112
2240;1623.95654296875;1000.3490600585938;1875;1000;-6.8746230893781615;499.48037147805917
