BitMask;0xffffffffffffffff;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff
Unit;(None);(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None)
Unit ScaleFactor;1;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1
Unit Offset;0;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0

460;4950.60693359375;1546.142822265625;460;397.21143254837295;460;400;460;-29.401298398333324;460;0;460;-0.21778739554320981;460;0;460;565;460;-1;460;282;460;4950.60693359375;460;1546.142822265625;460;1.8514711856842041;460;-3.0436153411865234;460;0;460;0;460;0
470;4950.60693359375;1546.142822265625;470;397.21143254837295;470;400;470;-29.401298398333324;470;0;470;-0.21778739554320981;470;0;470;565;470;-1;470;282;470;4950.60693359375;470;1546.142822265625;470;1.8514711856842041;470;-3.0436153411865234;470;0;470;0;470;0
480;4950.60693359375;1546.142822265625;480;397.21143254837295;480;400;480;-29.401298398333324;480;0;480;-0.21778739554320981;480;0;480;565;480;-1;480;282;480;4950.60693359375;480;1546.142822265625;480;1.8514711856842041;480;-3.0436153411865234;480;0;480;0;480;0
490;4950.60693359375;1546.142822265625;490;397.21143254837295;490;400;490;-29.401298398333324;490;0;490;-0.21778739554320981;490;0;490;565;490;-1;490;282;490;4950.60693359375;490;1546.142822265625;490;1.8514711856842041;490;-3.0436153411865234;490;0;490;0;490;0
500;4950.60693359375;1546.142822265625;500;397.21143254837295;500;400;500;-29.401298398333324;500;0;500;-0.21778739554320981;500;0;500;565;500;-1;500;282;500;4950.60693359375;500;1546.142822265625;500;1.8514711856842041;500;-3.0436153411865234;500;0;500;0;500;0
510;4950.60693359375;1546.142822265625;510;397.21143254837295;510;400;510;-29.401298398333324;510;0;510;-0.21778739554320981;510;0;510;565;510;-1;510;282;510;4950.60693359375;510;1546.142822265625;510;1.8514711856842041;510;-3.0436153411865234;510;0;510;0;510;0
520;4950.60693359375;1546.142822265625;520;397.21143254837295;520;400;520;-29.401298398333324;520;0;520;-0.21778739554320981;520;0;520;565;520;-1;520;282;520;4950.60693359375;520;1546.142822265625;520;1.8514711856842041;520;-3.0436153411865234;520;0;520;0;520;0
530;4950.60693359375;1546.142822265625;530;397.21143254837295;530;400;530;-29.401298398333324;530;0;530;-0.21778739554320981;530;0;530;565;530;-1;530;282;530;4950.60693359375;530;1546.142822265625;530;1.8514711856842041;530;-3.0436153411865234;530;0;530;0;530;0
540;4950.60693359375;1546.142822265625;540;397.21143254837295;540;400;540;-29.401298398333324;540;0;540;-0.21778739554320981;540;0;540;565;540;-1;540;282;540;4950.60693359375;540;1546.142822265625;540;1.8514711856842041;540;-3.0436153411865234;540;0;540;0;540;0
550;4950.60693359375;1546.142822265625;550;397.21143254837295;550;400;550;-29.401298398333324;550;0;550;-0.21778739554320981;550;0;550;565;550;-1;550;282;550;4950.60693359375;550;1546.142822265625;550;1.8514711856842041;550;-3.0436153411865234;550;0;550;0;550;0
