Name;YT Scope Project;
File;E:\hawino\Measurements\ParameterEstimation\parameter_in_y_fb8.csv;
Starttime of export;133161975881726000;Donnerstag, 22. Dezember 2022;16:46:28.172
Endtime of export;133161976284495671;Donnerstag, 22. Dezember 2022;16:47:08.449


Name;vtheta;vtheta_ref;vx;vx_ref;vy;vy_ref
2960;-0.085311111111111115;0;-10.880743173147687;0;84.2835;100
2970;-0.17256111111111114;0;11.334107472028839;0;75.64575;100
2980;0.12215000000000002;0;13.147564667553453;0;113.86125;100
2990;0.17256111111111111;0;-4.9870072876926876;0;126.94875;100
3000;-0.13572222222222222;0;-15.414386161959222;0;80.619000000000014;100
3010;-0.20358333333333331;0;7.7071930809796116;0;84.02175;100
3020;0.077555555555555558;0;17.227843357483835;0;117.264;100
3030;0.12215;0;-10.427378874266541;0;129.56625;100
3040;-0.15123333333333336;0;-6.8004644832173033;0;87.16275;100
3050;-0.16286666666666669;0;13.600928966434607;0;86.3775;100
3060;0.085311111111111088;0;11.787471770909994;0;124.593;100
3070;0.15123333333333333;0;-14.054293265315758;0;129.56625;100
3080;-0.16480555555555557;0;-6.347100184336151;0;88.4715;100
3090;-0.16868333333333338;0;12.6942003686723;0;84.807;100
3100;0.1279666666666667;0;7.70719308097961;0;126.42525;100
3110;0.1764388888888889;0;-4.0802786899303829;0;129.04275;100
3120;-0.1745;0;-2.266821494405769;0;82.45125;100
3130;-0.17837777777777777;0;5.4403715865738436;0;76.431;100
3140;0.12215;0;0.45336429888115642;0;121.71375;100
3150;0.20358333333333331;0;2.2668214944057659;0;126.42525;100
3160;-0.13959999999999995;0;-0.45336429888115437;0;76.169249999999991;100
3170;-0.16480555555555557;0;-1.3600928966434611;0;71.98125;100
3180;0.11633333333333336;0;-4.9870072876926876;0;115.43175000000001;100
3190;0.19970555555555561;0;1.3600928966434611;0;119.61975;100
3200;-0.09112777777777778;0;14.507657564196915;0;85.854;100
3210;-0.16868333333333332;0;2.2668214944057676;0;73.02825;100
3220;0.038777777777777772;0;-19.494664851889603;0;106.53224999999999;100
3230;0.14735555555555557;0;-9.5206502765042273;0;118.04925000000002;100
3240;-0.067861111111111136;0;19.494664851889603;0;86.63925;100
3250;-0.08143333333333333;0;14.961021863078068;0;76.16925;100
3260;0.077555555555555544;0;-11.334107472028837;0;99.203249999999983;100
3270;0.12021111111111112;0;-12.240836069791149;0;111.24374999999999;100
3280;-0.077555555555555544;0;27.655222231750368;0;92.397750000000016;100
3290;-0.11245555555555553;0;20.401393449651913;0;93.96825;100
3300;-0.027144444444444436;0;-18.5879362541273;0;118.04925000000002;100
3310;0.034900000000000021;0;-16.774479058602687;0;109.14975;100
3320;-0.02908333333333334;0;26.295129335106907;0;81.666000000000011;100
3330;-0.065922222222222229;0;14.961021863078068;0;103.39125;100
3340;0.0038777777777777669;0;-23.574943541819987;0;121.452;100
