SymbolName;Camera.cameraData.robotPosition[2].x;Camera.cameraData.robotPosition[2].y;SymbolName;WheelEncoders.vXCartesianFromMotors;SymbolName;MotorDrivers.vXCartesianToMotors;SymbolName;WheelEncoders.vYCartesianFromMotors;SymbolName;MotorDrivers.vYCartesianToMotors;SymbolName;WheelEncoders.vthetaCartesianFromMotors;SymbolName;MotorDrivers.vThetaCartesianToMotors;SymbolName;ParameterEstimation.i1;SymbolName;Camera.cameraData.robotPosition[2].x;SymbolName;Camera.cameraData.robotPosition[2].y;SymbolName;Camera.cameraData.robotPosition[2].e;SymbolName;Camera.cameraData.robotPosition[2].theta
NetID;5.53.207.184.1.1;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1
Port;851;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851
Offset;0;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0
ScaleFactor;1;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff
Unit;(None);(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None)
Unit ScaleFactor;1;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1
Unit Offset;0;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0

440;4716.033203125;1617.7724609375;440;0;440;0;440;0;440;0;440;0;440;0;440;-3;440;4716.033203125;440;1617.7724609375;440;5.104590892791748;440;-2.7155699729919434
450;4716.05322265625;1617.771728515625;450;0;450;0;450;0;450;0;450;0;450;0;450;-4;450;4716.05322265625;450;1617.771728515625;450;4.6794614791870117;450;-2.7153785228729248
460;4716.05322265625;1617.771728515625;460;0;460;0;460;0;460;0;460;0;460;0;460;10;460;4716.05322265625;460;1617.771728515625;460;4.6794614791870117;460;-2.7153785228729248
470;4716.05322265625;1617.771728515625;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;4716.05322265625;470;1617.771728515625;470;4.6794614791870117;470;-2.7153785228729248
480;4716.05322265625;1617.771728515625;480;0;480;0;480;0;480;0;480;0;480;0;480;-4;480;4716.05322265625;480;1617.771728515625;480;4.6794614791870117;480;-2.7153785228729248
490;4716.0830078125;1617.80908203125;490;0;490;0;490;0;490;0;490;0;490;0;490;-9;490;4716.0830078125;490;1617.80908203125;490;5.23709774017334;490;-2.7163770198822021
500;4716.0830078125;1617.80908203125;500;0;500;0;500;0;500;0;500;0;500;0;500;-4;500;4716.0830078125;500;1617.80908203125;500;5.23709774017334;500;-2.7163770198822021
510;4716.0830078125;1617.80908203125;510;0;510;0;510;0;510;0;510;0;510;0;510;-2;510;4716.0830078125;510;1617.80908203125;510;5.23709774017334;510;-2.7163770198822021
520;4716.0830078125;1617.80908203125;520;0;520;0;520;0;520;0;520;0;520;0;520;-6;520;4716.0830078125;520;1617.80908203125;520;5.23709774017334;520;-2.7163770198822021
530;4715.98583984375;1617.7763671875;530;0;530;0;530;0;530;0;530;0;530;0;530;-1;530;4715.98583984375;530;1617.7763671875;530;5.0023946762084961;530;-2.7151260375976562
540;4715.98583984375;1617.7763671875;540;0;540;0;540;0;540;0;540;0;540;0;540;10;540;4715.98583984375;540;1617.7763671875;540;5.0023946762084961;540;-2.7151260375976562
550;4715.98583984375;1617.7763671875;550;0;550;0;550;0;550;0;550;0;550;0;550;-4;550;4715.98583984375;550;1617.7763671875;550;5.0023946762084961;550;-2.7151260375976562
560;4715.98583984375;1617.7763671875;560;0;560;0;560;0;560;0;560;0;560;0;560;-7;560;4715.98583984375;560;1617.7763671875;560;5.0023946762084961;560;-2.7151260375976562
570;4715.9697265625;1617.7525634765625;570;0;570;0;570;0;570;0;570;0;570;0;570;-2;570;4715.9697265625;570;1617.7525634765625;570;4.6988086700439453;570;-2.715085506439209
580;4715.9697265625;1617.7525634765625;580;0;580;0;580;0;580;0;580;0;580;0;580;-3;580;4715.9697265625;580;1617.7525634765625;580;4.6988086700439453;580;-2.715085506439209
590;4715.9697265625;1617.7525634765625;590;0;590;0;590;0;590;0;590;0;590;0;590;-4;590;4715.9697265625;590;1617.7525634765625;590;4.6988086700439453;590;-2.715085506439209
600;4715.9697265625;1617.7525634765625;600;0;600;0;600;0;600;0;600;0;600;0;600;-2;600;4715.9697265625;600;1617.7525634765625;600;4.6988086700439453;600;-2.715085506439209
610;4715.9697265625;1617.7525634765625;610;0;610;0;610;0;610;0;610;0;610;0;610;-3;610;4715.9697265625;610;1617.7525634765625;610;4.6988086700439453;610;-2.715085506439209
620;4715.943359375;1618.2501220703125;620;0;620;0;620;0;620;0;620;0;620;0;620;-7;620;4715.943359375;620;1618.2501220703125;620;4.1918191909790039;620;-2.7081117630004883
630;4715.943359375;1618.2501220703125;630;0;630;0;630;0;630;0;630;0;630;0;630;1;630;4715.943359375;630;1618.2501220703125;630;4.1918191909790039;630;-2.7081117630004883
640;4715.943359375;1618.2501220703125;640;0;640;0;640;0;640;0;640;0;640;0;640;-7;640;4715.943359375;640;1618.2501220703125;640;4.1918191909790039;640;-2.7081117630004883
650;4715.943359375;1618.2501220703125;650;0;650;0;650;0;650;0;650;0;650;0;650;-4;650;4715.943359375;650;1618.2501220703125;650;4.1918191909790039;650;-2.7081117630004883
660;4716.01123046875;1617.781982421875;660;0;660;0;660;0;660;0;660;0;660;0;660;-4;660;4716.01123046875;660;1617.781982421875;660;4.9016451835632324;660;-2.7152016162872314
670;4716.01123046875;1617.781982421875;670;0;670;0;670;0;670;0;670;0;670;0;670;-1;670;4716.01123046875;670;1617.781982421875;670;4.9016451835632324;670;-2.7152016162872314
680;4716.01123046875;1617.781982421875;680;0;680;0;680;0;680;0;680;0;680;0;680;-4;680;4716.01123046875;680;1617.781982421875;680;4.9016451835632324;680;-2.7152016162872314
690;4716.01123046875;1617.781982421875;690;0;690;0;690;0;690;0;690;0;690;0;690;-3;690;4716.01123046875;690;1617.781982421875;690;4.9016451835632324;690;-2.7152016162872314
700;4715.37744140625;1615.340576171875;700;0;700;0;700;0;700;0;700;0;700;0;700;-13;700;4715.37744140625;700;1615.340576171875;700;4.4074244499206543;700;-2.7447762489318848
710;4715.37744140625;1615.340576171875;710;0;710;0;710;0;710;0;710;0;710;0;710;-9;710;4715.37744140625;710;1615.340576171875;710;4.4074244499206543;710;-2.7447762489318848
