SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True
SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVYfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVXfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVThetafromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[3];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[2];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[1];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[0];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstY;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstX;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstTheta;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutDebugCase
NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1
Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350

1070;0;1070;0;1070;0;1070;0.26872354745864868;1070;-0.057521436363458633;1070;1617.613037109375;1070;3775.98828125;1070;1494.6812678809577;1070;3521.5389063524781;1070;-0.23921293834968085;1070;2
1080;0;1080;0;1080;0;1080;0.26872354745864868;1080;-0.057521436363458633;1080;1617.613037109375;1080;3775.98828125;1080;1494.6812678809577;1080;3521.5389063524781;1080;-0.23921293834968085;1080;2
1090;0;1090;0;1090;0;1090;0.54062050580978394;1090;-0.055711124092340469;1090;1617.8538818359375;1090;3776.038330078125;1090;1494.6812678809577;1090;3521.5389063524781;1090;-0.23921293834968085;1090;2
1100;0;1100;0;1100;0;1100;0.54062050580978394;1100;-0.055711124092340469;1100;1617.8538818359375;1100;3776.038330078125;1100;1617.8538818359375;1100;3776.038330078125;1100;-0.055711124092340469;1100;1
1110;0;1110;0;1110;0;1110;0.54062050580978394;1110;-0.055711124092340469;1110;1617.8538818359375;1110;3776.038330078125;1110;1617.8538818359375;1110;3776.038330078125;1110;-0.055711124092340469;1110;2
1120;0;1120;0;1120;0;1120;0.54062050580978394;1120;-0.055711124092340469;1120;1617.8538818359375;1120;3776.038330078125;1120;1617.8538818359375;1120;3776.038330078125;1120;-0.055711124092340469;1120;2
1130;0;1130;0;1130;0;1130;0.54062050580978394;1130;-0.055711124092340469;1130;1617.8538818359375;1130;3776.038330078125;1130;1617.8538818359375;1130;3776.038330078125;1130;-0.055711124092340469;1130;2
1140;0;1140;0;1140;0;1140;0.47387030720710754;1140;-0.055142387747764587;1140;1617.8236083984375;1140;3775.97412109375;1140;1617.8538818359375;1140;3776.038330078125;1140;-0.055711124092340469;1140;2
1150;0;1150;0;1150;0;1150;0.47387030720710754;1150;-0.055142387747764587;1150;1617.8236083984375;1150;3775.97412109375;1150;1617.8236083984375;1150;3775.97412109375;1150;-0.055142387747764587;1150;1
1160;0;1160;0;1160;0;1160;0.47387030720710754;1160;-0.055142387747764587;1160;1617.8236083984375;1160;3775.97412109375;1160;1617.8236083984375;1160;3775.97412109375;1160;-0.055142387747764587;1160;2
1170;0;1170;0;1170;0;1170;0.47387030720710754;1170;-0.055142387747764587;1170;1617.8236083984375;1170;3775.97412109375;1170;1617.8236083984375;1170;3775.97412109375;1170;-0.055142387747764587;1170;2
1180;0;1180;0;1180;0;1180;0.47387030720710754;1180;-0.055142387747764587;1180;1617.8236083984375;1180;3775.97412109375;1180;1617.8236083984375;1180;3775.97412109375;1180;-0.055142387747764587;1180;2
1190;0;1190;0;1190;0;1190;0.47387030720710754;1190;-0.055142387747764587;1190;1617.8236083984375;1190;3775.97412109375;1190;1617.8236083984375;1190;3775.97412109375;1190;-0.055142387747764587;1190;2
1200;0;1200;0;1200;0;1200;0.043344415724277496;1200;-0.055739957839250565;1200;1617.7550048828125;1200;3776.1767578125;1200;1617.8236083984375;1200;3775.97412109375;1200;-0.055142387747764587;1200;2
1210;0;1210;0;1210;0;1210;0.043344415724277496;1210;-0.055739957839250565;1210;1617.7550048828125;1210;3776.1767578125;1210;1617.7550048828125;1210;3776.1767578125;1210;-0.055739957839250565;1210;1
1220;0;1220;0;1220;0;1220;0.043344415724277496;1220;-0.055739957839250565;1220;1617.7550048828125;1220;3776.1767578125;1220;1617.7550048828125;1220;3776.1767578125;1220;-0.055739957839250565;1220;2
1230;0;1230;0;1230;0;1230;0.043344415724277496;1230;-0.055739957839250565;1230;1617.7550048828125;1230;3776.1767578125;1230;1617.7550048828125;1230;3776.1767578125;1230;-0.055739957839250565;1230;2
1240;0;1240;0;1240;0;1240;0.043344415724277496;1240;-0.055739957839250565;1240;1617.7550048828125;1240;3776.1767578125;1240;1617.7550048828125;1240;3776.1767578125;1240;-0.055739957839250565;1240;2
1250;0;1250;0;1250;0;1250;0.28664639592170715;1250;-0.056690052151679993;1250;1617.7523193359375;1250;3775.906982421875;1250;1617.7550048828125;1250;3776.1767578125;1250;-0.055739957839250565;1250;2
1260;0;1260;0;1260;0;1260;0.28664639592170715;1260;-0.056690052151679993;1260;1617.7523193359375;1260;3775.906982421875;1260;1617.7523193359375;1260;3775.906982421875;1260;-0.056690052151679993;1260;1
1270;0;1270;0;1270;0;1270;0.28664639592170715;1270;-0.056690052151679993;1270;1617.7523193359375;1270;3775.906982421875;1270;1617.7523193359375;1270;3775.906982421875;1270;-0.056690052151679993;1270;2
1280;0;1280;0;1280;0;1280;0.28664639592170715;1280;-0.056690052151679993;1280;1617.7523193359375;1280;3775.906982421875;1280;1617.7523193359375;1280;3775.906982421875;1280;-0.056690052151679993;1280;2
1290;0;1290;0;1290;0;1290;0.28664639592170715;1290;-0.056690052151679993;1290;1617.7523193359375;1290;3775.906982421875;1290;1617.7523193359375;1290;3775.906982421875;1290;-0.056690052151679993;1290;2
1300;0;1300;0;1300;0;1300;0.28664639592170715;1300;-0.056690052151679993;1300;1617.7523193359375;1300;3775.906982421875;1300;1617.7523193359375;1300;3775.906982421875;1300;-0.056690052151679993;1300;2
1310;0;1310;0;1310;0;1310;0.80944252014160156;1310;-0.0566251166164875;1310;1617.811279296875;1310;3776.000732421875;1310;1617.7523193359375;1310;3775.906982421875;1310;-0.056690052151679993;1310;2
1320;0;1320;0;1320;0;1320;0.80944252014160156;1320;-0.0566251166164875;1320;1617.811279296875;1320;3776.000732421875;1320;1617.811279296875;1320;3776.000732421875;1320;-0.0566251166164875;1320;1
1330;0;1330;0;1330;0;1330;0.80944252014160156;1330;-0.0566251166164875;1330;1617.811279296875;1330;3776.000732421875;1330;1617.811279296875;1330;3776.000732421875;1330;-0.0566251166164875;1330;2
1340;0;1340;0;1340;0;1340;0.80944252014160156;1340;-0.0566251166164875;1340;1617.811279296875;1340;3776.000732421875;1340;1617.811279296875;1340;3776.000732421875;1340;-0.0566251166164875;1340;2
1350;0;1350;0;1350;0;1350;0.80944252014160156;1350;-0.0566251166164875;1350;1617.811279296875;1350;3776.000732421875;1350;1617.811279296875;1350;3776.000732421875;1350;-0.0566251166164875;1350;2
1360;0;1360;0;1360;0;1360;0.048433002084493637;1360;-0.055905424058437347;1360;1617.80517578125;1360;3776.193115234375;1360;1617.811279296875;1360;3776.000732421875;1360;-0.0566251166164875;1360;2
1370;0;1370;0;1370;0;1370;0.048433002084493637;1370;-0.055905424058437347;1370;1617.80517578125;1370;3776.193115234375;1370;1617.80517578125;1370;3776.193115234375;1370;-0.055905424058437347;1370;1
1380;0;1380;0;1380;0;1380;0.048433002084493637;1380;-0.055905424058437347;1380;1617.80517578125;1380;3776.193115234375;1380;1617.80517578125;1380;3776.193115234375;1380;-0.055905424058437347;1380;2
1390;0;1390;0;1390;0;1390;0.048433002084493637;1390;-0.055905424058437347;1390;1617.80517578125;1390;3776.193115234375;1390;1617.80517578125;1390;3776.193115234375;1390;-0.055905424058437347;1390;2
1400;0;1400;0;1400;0;1400;0.048433002084493637;1400;-0.055905424058437347;1400;1617.80517578125;1400;3776.193115234375;1400;1617.80517578125;1400;3776.193115234375;1400;-0.055905424058437347;1400;2
1410;0;1410;0;1410;0;1410;0.21811546385288239;1410;-0.056158494204282761;1410;1617.8419189453125;1410;3775.994140625;1410;1617.80517578125;1410;3776.193115234375;1410;-0.055905424058437347;1410;2
1420;0;1420;0;1420;0;1420;0.21811546385288239;1420;-0.056158494204282761;1420;1617.8419189453125;1420;3775.994140625;1420;1617.8419189453125;1420;3775.994140625;1420;-0.056158494204282761;1420;1
1430;0;1430;0;1430;0;1430;0.21811546385288239;1430;-0.056158494204282761;1430;1617.8419189453125;1430;3775.994140625;1430;1617.8419189453125;1430;3775.994140625;1430;-0.056158494204282761;1430;2
1440;0;1440;0;1440;0;1440;0.21811546385288239;1440;-0.056158494204282761;1440;1617.8419189453125;1440;3775.994140625;1440;1617.8419189453125;1440;3775.994140625;1440;-0.056158494204282761;1440;2
1450;0;1450;0;1450;0;1450;0.21811546385288239;1450;-0.056158494204282761;1450;1617.8419189453125;1450;3775.994140625;1450;1617.8419189453125;1450;3775.994140625;1450;-0.056158494204282761;1450;2
1460;0;1460;0;1460;0;1460;0.1485104113817215;1460;-0.057016730308532715;1460;1617.8118896484375;1460;3775.999267578125;1460;1617.8419189453125;1460;3775.994140625;1460;-0.056158494204282761;1460;2
1470;0;1470;0;1470;0;1470;0.1485104113817215;1470;-0.057016730308532715;1470;1617.8118896484375;1470;3775.999267578125;1470;1617.8118896484375;1470;3775.999267578125;1470;-0.057016730308532715;1470;1
1480;0;1480;0;1480;0;1480;0.1485104113817215;1480;-0.057016730308532715;1480;1617.8118896484375;1480;3775.999267578125;1480;1617.8118896484375;1480;3775.999267578125;1480;-0.057016730308532715;1480;2
1490;0;1490;0;1490;0;1490;0.1485104113817215;1490;-0.057016730308532715;1490;1617.8118896484375;1490;3775.999267578125;1490;1617.8118896484375;1490;3775.999267578125;1490;-0.057016730308532715;1490;2
1500;0;1500;0;1500;0;1500;0.1485104113817215;1500;-0.057016730308532715;1500;1617.8118896484375;1500;3775.999267578125;1500;1617.8118896484375;1500;3775.999267578125;1500;-0.057016730308532715;1500;2
