Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\cyclicTrajectory.csv;
Starttime of export;133244135421787000;Montag, 27. März 2023;19:59:02.178
Endtime of export;133244136106087000;Montag, 27. März 2023;20:00:10.608


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;thetaObs (1);thetaRef;thetaCam;thetaObs
SampleTime[ms];10;10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;ControlPRG.observer.xCameraPose.theta;ControlPRG.observer.yObserverdPose.theta
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851

850;1687.665283203125;1539.962646484375;1656.7685787291277;1688.2033509545693;1650;1889.8170995417647;1.571819467513174;1.4153844117839582;1.5245683193206787;1.571819467513174
860;1687.665283203125;1539.962646484375;1657.3364354875275;1693.3710428894858;1650;1914.8170995417645;1.5667004290146409;1.3696027981839902;1.5245683193206787;1.5667004290146409
870;1687.665283203125;1539.962646484375;1657.8609633298622;1698.8985248640497;1650;1914.8170995417645;1.561328908630176;1.3696027981839902;1.5245683193206787;1.561328908630176
880;1691.795166015625;1574.8787841796875;1658.4393436566313;1704.53938182529;1650;1914.8170995417645;1.5552059585726303;1.3696027981839902;1.5028295516967773;1.5552059585726303
890;1691.795166015625;1574.8787841796875;1659.0816946766763;1710.0435809494618;1650;1914.8170995417645;1.5477932455956813;1.3696027981839902;1.5028295516967773;1.5477932455956813
900;1691.795166015625;1574.8787841796875;1659.942864334454;1715.8801123044573;1650;1914.8170995417645;1.5405231717675374;1.3696027981839902;1.5028295516967773;1.5405231717675374
910;1691.795166015625;1574.8787841796875;1660.8855446654927;1721.5022162098385;1650;1939.8170995417645;1.5343985765409416;1.3239835294237488;1.5028295516967773;1.5343985765409416
920;1691.795166015625;1574.8787841796875;1661.2276710669162;1726.3728139586392;1650;1939.8170995417645;1.5300281432419907;1.3239835294237488;1.5028295516967773;1.5300281432419907
930;1694.6270751953125;1593.434814453125;1661.47406885064;1731.2681092283979;1650;1939.8170995417645;1.5269909098979626;1.3239835294237488;1.4827637672424316;1.5269909098979626
940;1694.6270751953125;1593.434814453125;1662.308527262941;1736.3998577922773;1650;1939.8170995417645;1.5218023715317546;1.3239835294237488;1.4827637672424316;1.5218023715317546
950;1694.6270751953125;1593.434814453125;1662.9990460052707;1741.7293338487373;1650;1939.8170995417645;1.5142189534340795;1.3239835294237488;1.4827637672424316;1.5142189534340795
960;1694.6270751953125;1593.434814453125;1663.056479805861;1747.4386228943101;1650;1964.8170995417645;1.5074195467435134;1.2785665942738078;1.4827637672424316;1.5074195467435134
