Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\testauftrag.csv;
Starttime of export;133245718363175000;Mittwoch, 29. März 2023;15:57:16.317
Endtime of export;133245718651045081;Mittwoch, 29. März 2023;15:57:45.104


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;thetaObs (1);thetaRef;thetaCam;thetaObs
SampleTime[ms];10;10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;ControlPRG.observer.xCameraPose.theta;ControlPRG.observer.yObserverdPose.theta
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851

930;1818.779541015625;1366.895751953125;1818.7890905669524;1366.8876767322327;0;0;-1.5794917989847195;0;-1.5797505378723145;-1.5794917989847195
940;1818.779541015625;1366.895751953125;1818.7889950714391;1366.8877574844416;0;0;-1.5794943863735955;0;-1.5797505378723145;-1.5794943863735955
950;1818.77099609375;1366.8609619140625;1818.7889005308809;1366.8878374291285;0;0;-1.5794969478885828;0;-1.5794161558151245;-1.5794969478885828
960;1818.77099609375;1366.8609619140625;1818.7888069357284;1366.8879165743683;0;0;-1.57949948378842;0;-1.5794161558151245;-1.57949948378842
970;1818.77099609375;1366.8609619140625;1818.7886288273087;1366.8876470277653;0;0;-1.579498650508687;0;-1.5794161558151245;-1.579498650508687
980;1818.77099609375;1366.8609619140625;1818.7884524999731;1366.8873801766283;0;0;-1.5794978255617513;0;-1.5794161558151245;-1.5794978255617513
990;1818.8072509765625;1366.90673828125;1818.7882779359109;1366.8871159940027;0;0;-1.579497008864285;0;-1.5799226760864258;-1.579497008864285
1000;1818.8072509765625;1366.90673828125;1818.7881051174893;1366.8868544532033;0;0;-1.5794962003337933;0;-1.5799226760864258;-1.5794962003337933
1010;1818.8072509765625;1366.90673828125;1818.78829657608;1366.8870532914839;0;0;-1.5795004650913196;0;-1.5799226760864258;-1.5795004650913196
1020;1818.8072509765625;1366.90673828125;1818.7884861200848;1366.8872501413816;0;0;-1.5795046872012706;0;-1.5799226760864258;-1.5795046872012706
1030;1818.8072509765625;1366.90673828125;1818.7886737686497;1366.8874450227804;0;0;-1.5795088670901221;0;-1.5799226760864258;-1.5795088670901221
1040;1818.78466796875;1366.9007568359375;1818.7888595407287;1366.8876379553651;0;0;-1.5795130051800852;0;-1.579737663269043;-1.5795130051800852
1050;1818.78466796875;1366.9007568359375;1818.789043455087;1366.8878289586239;0;0;-1.5795171018891485;0;-1.579737663269043;-1.5795171018891485
1060;1818.78466796875;1366.9007568359375;1818.7889997002237;1366.887958237397;0;0;-1.5795193075029474;0;-1.579737663269043;-1.5795193075029474
1070;1818.78466796875;1366.9007568359375;1818.788956382909;1366.8880862233825;0;0;-1.5795214910606084;0;-1.579737663269043;-1.5795214910606084
1080;1818.808349609375;1366.88916015625;1818.7889134987674;1366.888212929508;0;0;-1.5795236527826928;0;-1.579028844833374;-1.5795236527826928
1090;1818.808349609375;1366.88916015625;1818.7888710434672;1366.8883383685723;0;0;-1.5795257928875564;0;-1.579028844833374;-1.5795257928875564
1100;1818.808349609375;1366.88916015625;1818.7890658291262;1366.888346586449;0;0;-1.5795208234070146;0;-1.579028844833374;-1.5795208234070146
1110;1818.808349609375;1366.88916015625;1818.7892586669286;1366.8883547221469;0;0;-1.5795159036212783;0;-1.579028844833374;-1.5795159036212783
1120;1818.808349609375;1366.88916015625;1818.789449576353;1366.8883627764878;0;0;-1.5795110330333992;0;-1.579028844833374;-1.5795110330333992
1130;1818.755859375;1366.895263671875;1818.7896385766833;1366.8883707502855;0;0;-1.5795062111513989;0;-1.5798549652099609;-1.5795062111513989
1140;1818.755859375;1366.895263671875;1818.78982568701;1366.888378644345;0;0;-1.5795014374882186;0;-1.5798549652099609;-1.5795014374882186
1150;1818.755859375;1366.895263671875;1818.78948602389;1366.8884474946203;0;0;-1.579504972765436;0;-1.5798549652099609;-1.579504972765436
1160;1818.755859375;1366.895263671875;1818.7891497574012;1366.8885156563929;0;0;-1.5795084726898812;0;-1.5798549652099609;-1.5795084726898812
1170;1818.755859375;1366.895263671875;1818.7888168535772;1366.8885831365476;0;0;-1.5795119376150819;0;-1.5798549652099609;-1.5795119376150819
1180;1818.804443359375;1366.9168701171875;1818.7884872787913;1366.8886499419009;0;0;-1.5795153678910308;0;-1.5797948837280273;-1.5795153678910308
1190;1818.804443359375;1366.9168701171875;1818.7881609997535;1366.8887160792006;0;0;-1.57951876386422;0;-1.5797948837280273;-1.57951876386422
1200;1818.804443359375;1366.9168701171875;1818.7883238233496;1366.8889976195803;0;0;-1.5795215250628583;0;-1.5797948837280273;-1.5795215250628583
1210;1818.804443359375;1366.9168701171875;1818.78848501871;1366.8892763445565;0;0;-1.57952425864951;0;-1.5797948837280273;-1.57952425864951
1220;1818.794921875;1366.87060546875;1818.7886446021166;1366.8895522822827;0;0;-1.5795269649002952;0;-1.5793795585632324;-1.5795269649002952
1230;1818.794921875;1366.87060546875;1818.7888025896891;1366.8898254606318;0;0;-1.5795296440885724;0;-1.5793795585632324;-1.5795296440885724
1240;1818.794921875;1366.87060546875;1818.7888637825422;1366.889633260713;0;0;-1.579528143233319;0;-1.5793795585632324;-1.579528143233319
1250;1818.794921875;1366.87060546875;1818.7889243634668;1366.8894429827933;0;0;-1.5795266573866182;0;-1.5793795585632324;-1.5795266573866182
1260;1818.794921875;1366.87060546875;1818.7889843385822;1366.8892546076529;0;0;-1.5795251863983844;0;-1.5793795585632324;-1.5795251863983844
1270;1818.771728515625;1366.88134765625;1818.7890437139463;1366.8890681162638;0;0;-1.5795237301200329;0;-1.5796419382095337;-1.5795237301200329
1280;1818.771728515625;1366.88134765625;1818.7891024955568;1366.8888834897887;0;0;-1.5795222884044649;0;-1.5796419382095337;-1.5795222884044649
1290;1818.771728515625;1366.88134765625;1818.7889287557575;1366.8888081314533;0;0;-1.5795234849025155;0;-1.5796419382095337;-1.5795234849025155
1300;1818.771728515625;1366.88134765625;1818.7887567533562;1366.8887335267013;0;0;-1.5795246694355856;0;-1.5796419382095337;-1.5795246694355856
1310;1818.78173828125;1366.885498046875;1818.788586470979;1366.8886596679968;0;0;-1.5795258421233251;0;-1.5795879364013672;-1.5795258421233251
1320;1818.78173828125;1366.885498046875;1818.7884178914255;1366.8885865478792;0;0;-1.5795270030841873;0;-1.5795879364013672;-1.5795270030841873
