Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\Rectangle_P3_vRef500.csv;
Starttime of export;133228422645538000;Donnerstag, 9. März 2023;14:31:04.553
Endtime of export;133228422862727344;Donnerstag, 9. März 2023;14:31:26.272


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;xObs, yObs X;xObs, yObs Y;vYworldToSimulink;vXworldToSimulink
SampleTime[ms];10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.yObserverdPose.x;TrackingController.observer.yObserverdPose.y;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851;851;851

1110;1123.35107421875;986.421142578125;1300;1000;1182.7302325375276;987.58416386290116;43.524756713633792;442.19385550888404
1120;1123.35107421875;986.421142578125;1300;1000;1183.7974928233562;987.85834537838593;51.173922138720549;441.01373043535693
1130;1123.35107421875;986.421142578125;1325;1000;1184.3977318984414;988.35744892390835;35.59777690362148;464.90059033023527
1140;1137.0198974609375;988.726806640625;1325;1000;1184.8681284224558;988.767981955216;39.526936186077108;459.39965722613584
1150;1137.0198974609375;988.726806640625;1325;1000;1199.2189803015315;991.31013086340192;53.096993379280022;434.49369868967045
1160;1137.0198974609375;988.726806640625;1325;1000;1199.9153193061081;991.5703433700927;41.817701850600429;426.78483044854204
1170;1137.0198974609375;988.726806640625;1325;1000;1200.1213647087818;992.08712077608948;27.027160895090795;432.03166203908751
1180;1137.0198974609375;988.726806640625;1350;1000;1199.9422185194649;992.75861301384975;37.942261298043874;411.29659458068454
1190;1150.4547119140625;987.0361328125;1350;1000;1199.7379559429112;993.208204746641;51.119652718161;422.54483895057535
1200;1150.4547119140625;987.0361328125;1350;1000;1213.03290350389;991.81095493127759;47.563465334258041;441.61845992840546
1210;1150.4547119140625;987.0361328125;1350;1000;1212.83319815913;991.95575196614266;29.289307333405191;446.76570852374846
1220;1150.4547119140625;987.0361328125;1350;1000;1212.6620683150186;991.953296992567;19.073000075838785;405.79281214653992
1230;1180.42236328125;989.0860595703125;1375;1000;1212.6913748264715;991.97093404227655;25.303031068711697;395.01791741972249
1240;1180.42236328125;989.0860595703125;1375;1000;1242.2539406435976;993.94004841690548;33.546405117271235;426.51494589687081
1250;1180.42236328125;989.0860595703125;1375;1000;1241.394995020655;994.13240720822375;26.828919967229815;440.73474006778292
1260;1180.42236328125;989.0860595703125;1375;1000;1240.9260563024945;994.44208328043965;6.4254841357295263;456.06179749194791
1270;1180.42236328125;989.0860595703125;1375;1000;1240.9114651480836;994.27512491297557;20.007388926929906;457.58988549979892
1280;1193.503662109375;989.92926025390625;1400;1000;1241.0619458186495;993.82764053294568;53.211353389092011;443.46504249608415
1290;1193.503662109375;989.92926025390625;1400;1000;1254.0701375984702;994.5149373367725;46.077138248847618;447.27010998283
1300;1193.503662109375;989.92926025390625;1400;1000;1253.9107914511696;994.65178150880263;18.834695248756546;422.19512006390352
1310;1193.503662109375;989.92926025390625;1400;1000;1254.0385555641012;994.58158295749831;6.9604003908834642;405.48119110223683
1320;1209.958251953125;992.06494140625;1400;1000;1253.9926584602549;994.35175289147992;35.539302295540928;442.91426169701339
1330;1209.958251953125;992.06494140625;1425;1000;1270.1817435946364;996.28676643878157;40.073850780056759;443.0903161669271
1340;1209.958251953125;992.06494140625;1425;1000;1270.4979202657996;996.2627368487565;20.063314038696987;443.79183211865819
1350;1209.958251953125;992.06494140625;1425;1000;1270.703375037963;996.15227882937552;13.593803969781185;443.05739824686077
1360;1209.958251953125;992.06494140625;1425;1000;1270.7251087598656;995.87727731641985;39.354869753682451;443.28482692221638
1370;1236.917724609375;994.03155517578125;1425;1000;1270.6880256570967;995.72032228278363;24.674329664665798;456.12551977950073
1380;1236.917724609375;994.03155517578125;1450;1000;1298.0224184611036;997.8897547490933;6.7189056602392583;468.16618246933245
1390;1236.917724609375;994.03155517578125;1450;1000;1298.6334944847013;997.88346773505293;17.458659239703714;460.42915866663077
1400;1236.917724609375;994.03155517578125;1450;1000;1299.0500068504259;997.6151927404826;15.89545641102324;452.64322672943109
1410;1236.917724609375;994.03155517578125;1450;1000;1299.2469510364144;997.52149013320729;4.436034941674464;465.48832659143227
1420;1251.4625244140625;995.76123046875;1450;1000;1299.2127653287892;997.61618985596022;-3.1529366507897407;500.11092907675516
1430;1251.4625244140625;995.76123046875;1475;1000;1313.8365495443932;999.19015160907645;14.019274901184957;519.68434721056451
1440;1251.4625244140625;995.76123046875;1475;1000;1314.4030084101999;998.62650870867765;33.623419791064407;472.89835196610176
1450;1277.9208984375;996.50103759765625;1475;1000;1315.1271507824772;998.305930075201;26.544571070503011;423.28112260443652
1460;1277.9208984375;996.50103759765625;1475;1000;1342.0925571249366;999.19362444953038;20.702072309570184;442.17151185202061
1470;1277.9208984375;996.50103759765625;1475;1000;1342.2705564399587;999.38946615632653;24.102585460103718;478.73257033731772
1480;1277.9208984375;996.50103759765625;1500;1000;1342.2631289415087;999.24109385646682;9.57122433728911;502.08180840849082
1490;1277.9208984375;996.50103759765625;1500;1000;1342.6195514832125;999.08138120326726;14.44099537507546;524.17604104045949
1500;1291.3980712890625;997.54931640625;1500;1000;1343.202451246111;998.97646030625322;10.350119216021909;518.61238246224059
1510;1291.3980712890625;997.54931640625;1500;1000;1357.4908105256095;1000.0332110288999;6.0937457085544082;484.170436692935
1520;1291.3980712890625;997.54931640625;1500;1000;1358.2440860810098;999.74316352352332;-14.796444025687563;425.22656636981316
1530;1291.3980712890625;997.54931640625;1525;1000;1358.524535250144;999.55735768396221;14.798106254978862;441.53174794905385
1540;1291.3980712890625;997.54931640625;1525;1000;1358.0951390891489;999.34220418710288;23.08757309294645;513.75972898105306
1550;1308.192626953125;999.7940673828125;1525;1000;1357.906164981973;999.31559865725569;-10.388269834413265;494.84989323278376
1560;1308.192626953125;999.7940673828125;1525;1000;1375.3118856685519;1001.6322708006375;-9.3908794337854715;483.9524215128223
1570;1308.192626953125;999.7940673828125;1525;1000;1375.6055013349653;1001.4840277528765;-4.2059465628587844;493.30763061056933
1580;1337.552978515625;1000.052490234375;1550;1000;1375.443916259326;1001.4216483250466;25.433541010778967;459.51221833298132
1590;1337.552978515625;1000.052490234375;1550;1000;1404.540500655826;1001.4978189619686;44.121280049304126;460.84356461198752
1600;1337.552978515625;1000.052490234375;1550;1000;1404.4066393194948;1001.4159201741658;20.777916430089832;482.12049824173562
1610;1337.552978515625;1000.052490234375;1550;1000;1404.7822637395702;1001.5916872639538;-10.945092381192211;493.58778401413593
1620;1337.552978515625;1000.052490234375;1550;1000;1405.1817536034673;1001.592445705159;-20.543768478676796;483.70953945269184
1630;1351.494384765625;999.68048095703125;1575;1000;1405.3303057402356;1001.241968926746;14.51769850203047;489.16722943861305
1640;1351.494384765625;999.68048095703125;1575;1000;1419.0879893006777;1000.5688097212426;18.768720266260488;523.77692913917156
1650;1351.494384765625;999.68048095703125;1575;1000;1418.7379011846592;1000.5695767525122;-0.164996723234637;477.51663467184193
1660;1351.494384765625;999.68048095703125;1575;1000;1418.7895466514283;1000.6537627630146;-6.5954591686081017;419.910136660234
1670;1367.4593505859375;1000.0298461914063;1575;1000;1418.7230086312175;1000.5911753386966;2.3335191278201108;453.85994964107982
1680;1367.4593505859375;1000.0298461914063;1600;1000;1434.634810154434;1001.0225504216425;2.9188652606053296;514.85681209073141
1690;1367.4593505859375;1000.0298461914063;1600;1000;1434.7580921713545;1000.8979045503709;-16.532593414067193;554.59000374017876
1700;1367.4593505859375;1000.0298461914063;1600;1000;1434.7690630024513;1000.6962174720475;-26.828007007543221;516.25491486069961
1710;1367.4593505859375;1000.0298461914063;1600;1000;1435.3664641075252;1000.6347742362509;3.3601540108602137;475.51419941263862
1720;1367.4593505859375;1000.0298461914063;1600;1000;1435.689489041004;1000.4604029605133;26.697088422359613;461.76104991583594
1730;1384.394287109375;1000.0637817382813;1625;1000;1435.5115547290247;1000.5360639662505;-8.0288589063496119;484.6118189082211
1740;1384.394287109375;1000.0637817382813;1625;1000;1452.4689795682907;1000.5826349872414;-32.248085589909721;519.34897374191189
1750;1384.394287109375;1000.0637817382813;1625;1000;1452.7066621112531;1000.0611335976848;-19.54892874791669;554.56401215558242
1760;1417.527587890625;998.677734375;1625;1000;1453.0789468662549;999.53087357748484;-14.794653604085241;531.65015044953168
1770;1417.527587890625;998.677734375;1625;1000;1486.8220099289194;998.05878785053631;-22.650174292329254;458.46291810087411
1780;1417.527587890625;998.677734375;1650;1000;1487.3014160388877;998.11627899928226;7.6461297357047329;472.77017745440185
1790;1417.527587890625;998.677734375;1650;1000;1486.9943729255103;997.74460027133864;-17.18104749465779;509.91422081666815
1800;1433.2032470703125;997.5804443359375;1650;1000;1486.4843054086628;997.63337436603308;-22.717025288670868;519.01803809365674
1810;1433.2032470703125;997.5804443359375;1650;1000;1502.4839404497984;996.3659238192563;-0.1639740911162022;519.79617847953955
1820;1433.2032470703125;997.5804443359375;1650;1000;1503.4750194641326;996.20470815805572;-11.688289292812968;481.77566146733841
1830;1433.2032470703125;997.5804443359375;1675;1000;1504.1343817525171;996.17973322586636;-30.346316011989387;437.93734897334804
1840;1448.526611328125;995.9984130859375;1675;1000;1503.8035702462832;996.03366168033222;-10.265657214251007;464.55562180345635
1850;1448.526611328125;995.9984130859375;1675;1000;1517.9604079564274;994.31349320435288;-20.069217991169083;481.62314537620136
1860;1448.526611328125;995.9984130859375;1675;1000;1517.4434150258549;994.47911670228586;-40.029855553978692;484.37378583599946
1870;1448.526611328125;995.9984130859375;1675;1000;1517.5045044854905;994.24482298226553;-28.242022637897293;480.40174170153847
1880;1480.4046630859375;995.66845703125;1700;1000;1517.7306318446922;993.57755354250219;9.5734848601380946;456.5933186901666
1890;1480.4046630859375;995.66845703125;1700;1000;1549.5665828304379;993.04546585049923;9.3229126756162373;466.71309481555863
1900;1480.4046630859375;995.66845703125;1700;1000;1548.9390262799207;993.46368155499965;-7.7113400784423476;500.51477745045486
1910;1480.4046630859375;995.66845703125;1700;1000;1548.0605171065204;993.75239996923506;11.801035345561189;477.69713606925109
1920;1480.4046630859375;995.66845703125;1700;1000;1547.7491633765294;993.82323310449146;30.772754967017363;443.46730652421121
1930;1496.703857421875;994.7279052734375;1725;1000;1547.9415055562133;994.1677452008704;27.310952924378284;468.75048502366047
1940;1496.703857421875;994.7279052734375;1725;1000;1563.9476711828488;993.458459695371;13.817359456720013;494.58367285322703
1950;1496.703857421875;994.7279052734375;1725;1000;1563.5360338249188;993.90337969956136;3.0231720197194676;447.02609963023036
1960;1496.703857421875;994.7279052734375;1725;1000;1563.2916901725146;994.26872354701527;9.976716536826828;404.79602636252383
1970;1511.3997802734375;994.1231689453125;1725;1000;1562.5639893840214;994.30059500812365;43.568901250199964;450.17063603794708
1980;1511.3997802734375;994.1231689453125;1750;1000;1576.4901158845357;993.912508738295;33.951624818964937;489.28274130965912
1990;1511.3997802734375;994.1231689453125;1750;1000;1576.6124487551817;994.65166091091692;14.729433824310732;496.06650123561781
2000;1511.3997802734375;994.1231689453125;1750;1000;1576.8597199502437;995.093833731249;23.459530069218076;488.97776121198405
2010;1526.65380859375;992.791015625;1750;1000;1577.004153508838;995.4418202494038;35.951230485483578;488.665798556349
2020;1526.65380859375;992.791015625;1750;1000;1592.3042215829103;994.7445607853233;26.306526569944438;478.7134756755799
2030;1526.65380859375;992.791015625;1775;1000;1592.3868621514584;995.38649331655711;33.905441479173518;497.10502168014523
