SymbolBased;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yKalmanObservedPose.x;ControlPRG.observer.yKalmanObservedPose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;Object4 (KalmanObserver_R2021b).AdditionalOutports.TcModuleOutput_DEBUG;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;Object4 (KalmanObserver_R2021b).AdditionalOutports.TcModuleOutput_DEBUG;Object4 (KalmanObserver_R2021b).AdditionalOutports.TcModuleOutput_DEBUG
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851;354;851;851;851;851;851;851;851;354;354

420;970.0322265625;972.1329345703125;998.05509176116561;1000.0755036842016;0;0;998.05509176116561;1000.0755036842016;3.1413987417630671;0;1;970.0322265625;972.1329345703125;1000.0755036842016;998.05509176116561;0;0;3.1413987417630671;1;1
430;970.0322265625;972.1329345703125;997.24307395395874;999.27586802031294;0;0;997.24307395395874;999.27586802031294;3.1389644031912836;0;0;970.0322265625;972.1329345703125;999.27586802031294;997.24307395395874;0;0;3.1389644031912836;0;0
440;970.0322265625;972.1329345703125;997.50219284116167;999.54827506985839;0;0;997.50219284116167;999.54827506985839;3.1398905538327235;0;0;970.0322265625;972.1329345703125;999.54827506985839;997.50219284116167;0;0;3.1398905538327235;0;0
450;970.0322265625;972.1329345703125;998.73523410247037;1000.7954413529651;0;0;998.73523410247037;1000.7954413529651;3.1438723153196251;0;0;970.0322265625;972.1329345703125;1000.7954413529651;998.73523410247037;0;0;3.1438723153196251;0;0
460;973.9422607421875;972.6087646484375;1000.8548038431025;1002.9299109456621;0;0;1000.8548038431025;1002.9299109456621;3.1506356088265384;0;0;973.9422607421875;972.6087646484375;1002.9299109456621;1000.8548038431025;0;0;3.1506356088265384;0;0
470;973.9422607421875;972.6087646484375;999.18370614543767;1000.9201795302413;0;0;999.18370614543767;1000.9201795302413;3.1430081136319066;0;1;973.9422607421875;972.6087646484375;1000.9201795302413;999.18370614543767;0;0;3.1430081136319066;1;1
480;973.9422607421875;972.6087646484375;998.66386204440585;1000.0942538531541;0;0;998.66386204440585;1000.0942538531541;3.1392177286136183;0;0;973.9422607421875;972.6087646484375;1000.0942538531541;998.66386204440585;0;0;3.1392177286136183;0;0
490;973.9422607421875;972.6087646484375;999.18998761861235;1000.343581666535;0;0;999.18998761861235;1000.343581666535;3.1389114863606076;0;0;973.9422607421875;972.6087646484375;1000.343581666535;999.18998761861235;0;0;3.1389114863606076;0;0
500;973.9422607421875;972.6087646484375;1000.6674257531846;1001.5705642305647;0;0;1000.6674257531846;1001.5705642305647;3.1417720236389819;0;0;973.9422607421875;972.6087646484375;1001.5705642305647;1000.6674257531846;0;0;3.1417720236389819;0;0
510;970.0123291015625;972.0794677734375;1003.0110844432641;1003.6874619454984;0;0;1003.0110844432641;1003.6874619454984;3.1475140240486628;0;0;970.0123291015625;972.0794677734375;1003.6874619454984;1003.0110844432641;0;0;3.1475140240486628;0;0
