Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\realTrajectory.csv;
Starttime of export;133228611284515000;Donnerstag, 9. März 2023;19:45:28.451
Endtime of export;133228611419320327;Donnerstag, 9. März 2023;19:45:41.932


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;xObs, yObs X;xObs, yObs Y;vYworldToSimulink;vXworldToSimulink;e
SampleTime[ms];10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.yObserverdPose.x;TrackingController.observer.yObserverdPose.y;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink;Camera.cameraData.robotPosition[2].e
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851;851;851;851

660;1400.94921875;1003.7586669921875;1426.25;1000;1404.3356956283744;1003.1155978207775;34.811331997885787;38.800455524721009;2.1209182739257812
670;1400.94921875;1003.7586669921875;1426.25;1000;1404.6402846620383;1003.1204956651104;14.818497165935739;70.375996737987961;2.1209182739257812
680;1400.94921875;1003.7586669921875;1426.25;1000;1404.7499954373707;1003.0581133957764;-26.437489182299419;2.9695905234245261;1.6438816785812378
690;1401.9267578125;1003.0643310546875;1426.25;1000;1405.0752312037721;1003.0696409833859;-14.780438064908434;1.1926849291921202;1.6438816785812378
700;1401.9267578125;1003.0643310546875;1426.25;1000;1405.5110816315269;1003.1179585913541;22.627386066043179;63.008954705454343;1.6438816785812378
710;1401.9267578125;1003.0643310546875;1435;1000;1406.0257520202172;1002.9874045867132;14.005184902519618;35.715350679279226;1.6438816785812378
720;1401.9267578125;1003.0643310546875;1435;1000;1406.3502800650031;1002.8444672554194;-17.304140826428554;13.113751801315406;1.6438816785812378
730;1401.9267578125;1003.0643310546875;1435;1000;1406.73181299885;1002.7692337026232;-2.1113188923973638;42.89953870566994;1.6438816785812378
740;1401.9267578125;1003.0643310546875;1435;1000;1407.4076548455887;1002.7432641808856;0.27763591569698232;42.241624604880847;4.6276760101318359
750;1401.586181640625;1002.8366088867188;1435;1000;1407.8922196046235;1002.6880098623836;-20.781362500892815;23.438780753576946;4.6276760101318359
760;1401.586181640625;1002.8366088867188;1445;1000;1408.2376640607527;1002.6119462020266;-5.1226399150278237;38.348269067647223;4.6276760101318359
770;1401.586181640625;1002.8366088867188;1445;1000;1408.5461644806646;1002.5172606837871;-11.978815037257203;41.710550193456584;4.6276760101318359
780;1401.586181640625;1002.8366088867188;1445;1000;1408.8942432563415;1002.4275064961909;-23.283123643461217;49.810671090966153;4.6276760101318359
790;1401.586181640625;1002.8366088867188;1445;1000;1409.4424902646183;1002.3330808916663;-18.913584734975331;59.767966706552556;4.6276760101318359
800;1401.586181640625;1002.8366088867188;1445;1000;1409.8214045112557;1002.236017620808;-12.252935638176664;40.342281334607094;4.6276760101318359
810;1401.586181640625;1002.8366088867188;1456.25;1000;1410.2118834893779;1002.1739500730897;-1.4125596402876237;59.55448332939271;4.9325699806213379
820;1402.2119140625;1003.05224609375;1456.25;1000;1410.6680919835073;1002.1257250546437;-16.818755217991971;72.748888337596611;4.9325699806213379
830;1402.2119140625;1003.05224609375;1456.25;1000;1411.033590807752;1002.0043767558989;-16.861769767506608;63.857652195494069;4.9325699806213379
840;1402.2119140625;1003.05224609375;1456.25;1000;1411.7522385860912;1001.916331972374;-4.1752721505447266;93.455853178947265;4.9325699806213379
850;1402.2119140625;1003.05224609375;1456.25;1000;1412.4534462455708;1001.8628957215727;2.4733986812241673;76.096032475427691;4.9325699806213379
860;1402.2119140625;1003.05224609375;1468.75;1000;1413.130268502696;1001.8189720478134;-8.21379192857923;54.84075636260954;4.9325699806213379
870;1402.2119140625;1003.05224609375;1468.75;1000;1413.7185077374409;1001.7373511940467;-11.067881225192455;99.613620150020466;4.9325699806213379
880;1402.2119140625;1003.05224609375;1468.75;1000;1414.2525129073804;1001.6512679662836;3.4389306071620389;72.011403494775109;2.07885479927063
890;1403.2713623046875;1002.9855346679688;1468.75;1000;1415.1202010872273;1001.5983600577469;-7.2885711938629747;63.3381493205491;2.07885479927063
900;1403.2713623046875;1002.9855346679688;1468.75;1000;1415.9161435642593;1001.5413023861606;-10.42631111672095;123.85644917641162;2.07885479927063
910;1403.2713623046875;1002.9855346679688;1482.5;1000;1416.7970825259229;1001.4907798660969;-1.1772132736574399;95.594479826997443;2.07885479927063
920;1403.2713623046875;1002.9855346679688;1482.5;1000;1417.5652406925121;1001.4752256612534;5.4276533285848521;70.40421317041546;2.07885479927063
930;1403.2713623046875;1002.9855346679688;1482.5;1000;1418.325166839;1001.4546363352662;-8.76691401812068;118.32886748220425;2.07885479927063
940;1403.2713623046875;1002.9855346679688;1482.5;1000;1419.4313691836107;1001.4587116467332;14.162725197299327;102.21657006263921;2.07885479927063
950;1403.2713623046875;1002.9855346679688;1482.5;1000;1420.3524787369368;1001.5141994268311;27.959969020895358;107.22388728245483;2.07885479927063
960;1403.2713623046875;1002.9855346679688;1497.5;1000;1421.1904004076657;1001.5785810935812;5.7729997735503211;156.44058091759482;2.07885479927063
970;1403.2713623046875;1002.9855346679688;1497.5;1000;1421.9556838270355;1001.6787999904763;13.263757524719654;134.64134503173725;2.07885479927063
980;1403.2713623046875;1002.9855346679688;1497.5;1000;1422.6413878714345;1001.8121854041174;17.936701852061933;111.48625359214276;2.07885479927063
990;1403.2713623046875;1002.9855346679688;1497.5;1000;1423.7791725843638;1001.9602951522853;6.834208931030993;140.60408325266874;2.07885479927063
1000;1403.2713623046875;1002.9855346679688;1497.5;1000;1424.81660819349;1002.1329645280022;16.676553702773646;122.44898479824144;2.4346628189086914
1010;1412.0521240234375;999.964111328125;1513.75;1000;1425.6791889923854;1002.3103534068855;34.089302174188653;134.01871625612259;2.4346628189086914
1020;1412.0521240234375;999.964111328125;1513.75;1000;1426.4684861974906;1002.4592184535744;24.37928175566767;150.81610447029985;2.4346628189086914
1030;1412.0521240234375;999.964111328125;1513.75;1000;1428.7868187579622;1002.0770541315524;9.0722947866097119;152.36529941850529;2.4346628189086914
1040;1412.0521240234375;999.964111328125;1513.75;1000;1431.2114032065731;1001.8396406512467;35.068207012793756;159.81678890351876;2.4346628189086914
1050;1412.0521240234375;999.964111328125;1513.75;1000;1433.3177320000368;1001.6781882780626;42.4299830702714;175.13771786059527;2.4346628189086914
1060;1412.0521240234375;999.964111328125;1531.25;1000;1435.1356205040393;1001.5867118204773;34.37945819791495;158.96623111342433;1.4038242101669312
1070;1418.45263671875;1000.3804931640625;1531.25;1000;1436.6182801553716;1001.6007136622995;31.548717960984348;172.04775682475244;1.4038242101669312
1080;1418.45263671875;1000.3804931640625;1531.25;1000;1437.9140490341208;1001.6955316972085;32.0168166889309;176.01187691902146;1.4038242101669312
1090;1418.45263671875;1000.3804931640625;1531.25;1000;1440.7585467770289;1001.9030887587949;20.354667912126104;179.51315770574362;1.4038242101669312
1100;1418.45263671875;1000.3804931640625;1531.25;1000;1443.1432491374899;1002.1454336316034;27.521173348185684;184.97182179152043;1.4038242101669312
1110;1418.45263671875;1000.3804931640625;1550;1000;1445.1926635590471;1002.3734492509441;45.692734012680468;193.68939518263119;1.4038242101669312
1120;1418.45263671875;1000.3804931640625;1550;1000;1446.9179691391987;1002.54050580496;33.855452909611955;200.930083639706;1.4038242101669312
1130;1418.45263671875;1000.3804931640625;1550;1000;1448.3125348776821;1002.7093685455033;15.080523163066673;221.32670651789996;2.0582208633422852
1140;1422.278076171875;1000.6981201171875;1550;1000;1450.0633828408634;1002.8993676818468;25.378058215631356;222.49754724385548;2.0582208633422852
1150;1422.278076171875;1000.6981201171875;1550;1000;1451.6083178973531;1003.0788090289316;37.865566386745485;225.450574389631;2.0582208633422852
1160;1422.278076171875;1000.6981201171875;1570;1000;1453.6672074949602;1003.292901268505;39.570145081334573;246.35040813199666;2.0582208633422852
1170;1422.278076171875;1000.6981201171875;1570;1000;1455.4830589385047;1003.478419638988;31.903813516304727;261.97607967112856;2.3424978256225586
1180;1430.52783203125;1002.4427490234375;1570;1000;1457.0902864151567;1003.6319587379542;23.8963581820422;247.42514222392757;2.3424978256225586
1190;1430.52783203125;1002.4427490234375;1570;1000;1459.1184080046742;1003.7787815859055;31.423999461873041;263.0980458246496;2.3424978256225586
1200;1430.52783203125;1002.4427490234375;1570;1000;1462.4092476239146;1004.2487407069494;43.059075800283324;277.4181142247528;2.3424978256225586
1210;1430.52783203125;1002.4427490234375;1591.25;1000;1465.2172143233688;1004.6093916853412;38.218582500632678;296.7292971636943;2.3424978256225586
1220;1430.52783203125;1002.4427490234375;1591.25;1000;1467.617231959571;1004.8809100316887;31.087311895048778;322.99542424844867;2.3424978256225586
1230;1430.52783203125;1002.4427490234375;1591.25;1000;1469.69973462228;1005.1050796137466;40.131695004517923;350.62901219856775;2.3424978256225586
1240;1430.52783203125;1002.4427490234375;1591.25;1000;1472.1850745773277;1005.2900848978537;26.040662927472042;334.94153350645678;4.057436466217041
1250;1442.40966796875;1003.475341796875;1591.25;1000;1474.4156231965737;1005.4319705718021;4.4267474993447209;304.65691296240146;4.057436466217041
1260;1442.40966796875;1003.475341796875;1613.75;1000;1476.4902065225615;1005.5771903857444;29.523351416861146;321.11137445846038;4.057436466217041
1270;1442.40966796875;1003.475341796875;1613.75;1000;1480.5254806010569;1005.8739222551153;38.036784826269106;356.9044996188685;4.057436466217041
1280;1442.40966796875;1003.475341796875;1613.75;1000;1483.9672304188491;1006.038707042057;13.272070768385042;336.98938255976873;4.057436466217041
1290;1442.40966796875;1003.475341796875;1613.75;1000;1487.6185540931331;1006.161676190244;-5.50666225391808;336.12231167426711;5.9638028144836426
1300;1450.58642578125;1005.3370971679688;1613.75;1000;1490.7356213112728;1006.29493020667;0.20197762999744384;368.9484561283175;5.9638028144836426
1310;1450.58642578125;1005.3370971679688;1637.5;1000;1493.3944492391822;1006.3774641791259;7.2086790557119542;401.412888418198;5.9638028144836426
1320;1450.58642578125;1005.3370971679688;1637.5;1000;1497.1361739632018;1006.6984989173379;17.464041482281814;389.32449810257384;5.9638028144836426
1330;1450.58642578125;1005.3370971679688;1637.5;1000;1500.3315527067471;1006.8868870807665;11.014542068727607;382.38058202269997;5.9638028144836426
1340;1450.58642578125;1005.3370971679688;1637.5;1000;1503.8354846943614;1006.9944381135753;-4.3672838975596875;396.6852595189626;1.0499292612075806
1350;1468.4901123046875;1006.4376220703125;1637.5;1000;1506.8518760230663;1007.0614207482726;-5.7728778897303386;388.81984737702084;1.0499292612075806
1360;1468.4901123046875;1006.4376220703125;1662.5;1000;1509.4441641154544;1007.0739578405138;-0.0059606008954773415;406.03576037824325;1.0499292612075806
1370;1468.4901123046875;1006.4376220703125;1662.5;1000;1514.9020668273327;1007.1937387601331;-14.175264700694143;423.53134576183254;1.0499292612075806
1380;1468.4901123046875;1006.4376220703125;1662.5;1000;1519.4528183015955;1007.2107650064774;-38.06029422847962;443.25631303637391;1.0499292612075806
1390;1468.4901123046875;1006.4376220703125;1662.5;1000;1524.006138472753;1007.1683825252197;-26.447926381978959;439.62954953940795;2.12677264213562
1400;1489.200927734375;1007.7503662109375;1662.5;1000;1527.7073481321597;1007.0322829355305;-0.36561030740661238;426.41983100801917;2.12677264213562
1410;1489.200927734375;1007.7503662109375;1688.75;1000;1530.8007841117992;1006.8047887617142;-15.730636134332968;429.70345157040583;2.12677264213562
1420;1489.200927734375;1007.7503662109375;1688.75;1000;1537.1716995331512;1006.8002345459488;-53.7571053532302;459.43176860226549;2.12677264213562
1430;1489.200927734375;1007.7503662109375;1688.75;1000;1542.4743691106669;1006.7467829456082;-53.918317320000924;485.98114395097286;2.12677264213562
1440;1489.200927734375;1007.7503662109375;1688.75;1000;1547.6482931983533;1006.6129961008143;-33.717063655574606;486.02421372272045;1.3789712190628052
1450;1501.749755859375;1007.46484375;1688.75;1000;1551.9201797824921;1006.3827749975372;-36.143085360914185;419.06124259155735;1.3789712190628052
1460;1501.749755859375;1007.46484375;1716.25;1000;1555.5337925922586;1006.1084562617414;-12.815398439721193;399.10199969387156;1.3789712190628052
1470;1501.749755859375;1007.46484375;1716.25;1000;1560.8112627998064;1005.7750801864498;-4.4991405619278453;418.78567569014615;1.3789712190628052
1480;1501.749755859375;1007.46484375;1716.25;1000;1565.0423988099835;1005.4305852618592;-39.194539636845477;426.51451691623191;1.3789712190628052
1490;1501.749755859375;1007.46484375;1716.25;1000;1569.2461214569;1005.1018259939091;-50.434456144988786;465.42892743665936;1.4748680591583252
1500;1526.726806640625;1005.73828125;1716.25;1000;1572.6003790897466;1004.8143200477135;-40.252014019201113;483.27673215050822;1.4748680591583252
