Name;Measurements;
File;E:\hawino\Measurements\WallCrash.csv;
Starttime of export;133262943588028000;Dienstag, 18. April 2023;14:25:58.802
Endtime of export;133262943676393450;Dienstag, 18. April 2023;14:26:07.639


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;xKalman, yKalman X;xKalman, yKalman Y;xRef;xCam;xKalman;yObs;yRef;yCam;yKalman;thetaObs;thetaCam;thetaKalman;thetaRef;vX;vXRef;vXContr;vY;vYRef;vYContr;vTheta;vThetaRef;vThetaContr;newCamDataArrived;bumper;accuracyTheta;accuracyXY;arcLengthSlow;Name;FeedForwardLinearization;Name;kObsDelayedCycles;maxAcc;maxRadius;maxRotAcc;maxRotVel;maxSlowVel;maxVel;samplingTime;sObsDelayedCycles;thetaDZ;vrot_max;vtrans_max;i1;i2;i3
86;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;426;0;86;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;1;0;0
88;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;436;0;88;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;6;0;5
90;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;446;0;90;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;6;0;5
92;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;456;0;92;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;6;0;0
94;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;466;0;94;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;6;0;0
96;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;476;0;96;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;6;0;0
98;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;486;0;98;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;2;0;-10
100;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;496;0;100;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;2;0;-1
102;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;506;0;102;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;2;0;0
104;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;516;0;104;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;2;0;0
